city_id,city,cloudiness,country,date,humidity,lat,lng,maxtemp,windspeed
5557293,Sitka,90,US,1579884425,100,57.05,-135.33,1,5.7
3466980,Caravelas,100,BR,1579884130,85,-17.71,-39.25,25.8,9
2464701,Tataouine,58,TN,1579884425,15,32.93,10.45,23,1.5
3671450,Inirida,7,CO,1579884425,40,3.87,-67.92,37.85,0.65
2643044,Margate,75,GB,1579884425,100,51.38,1.39,6.67,2.1
3356264,Keetmanshoop,0,NA,1579884425,9,-26.58,18.13,34,6.2
1507116,Dudinka,75,RU,1579884425,84,69.41,86.18,-14,6
5354943,Half Moon Bay,1,US,1579884288,93,37.46,-122.43,12.22,1.3
1524606,Derzhavinsk,100,KZ,1579884425,95,51.1,66.32,-8.4,4.61
3131329,Voss,100,NO,1579884426,93,60.62,6.42,3.33,5.16
4032420,Neiafu,40,TO,1579884426,94,-18.65,-173.98,24,2.1
2038665,Alihe,0,CN,1579884426,85,50.57,123.72,-25.73,1.25
2120047,Ust'-Omchug,83,RU,1579884426,100,61.15,149.63,-38.69,2.31
2013865,Ust'-Uda,100,RU,1579884426,90,54.17,103.03,-13.91,2.63
2013406,Vidim,100,RU,1579884426,94,56.41,103.11,-8.96,4.88
6324729,Halifax,75,CA,1579884207,74,44.65,-63.57,2.78,3.1
6096551,Pangnirtung,20,CA,1579884317,67,66.15,-65.71,-33,1.43
1806840,Huilong,100,CN,1579884426,92,31.81,121.66,8.33,5.04
2012728,Zakamensk,100,RU,1579884427,89,50.37,103.29,-20.05,1.25
3970634,Vicam,40,MX,1579884427,77,27.63,-110.28,17.22,2.6
1263677,Mankapur,9,IN,1579884427,75,27.03,82.23,11.3,1.18
550574,Kharitonovo,98,RU,1579884427,96,61.4,47.5,-12.38,2.05
2022083,Alekseyevsk,100,RU,1579884427,94,57.84,108.35,-9.87,4.54
1529376,Korla,21,CN,1579884420,79,41.76,86.15,-10.76,1.33
1263997,Mahabalipuram,20,IN,1579884427,78,12.63,80.17,25.56,1
2017658,Preobrazheniye,0,RU,1579884428,57,42.9,133.91,-14.27,2.38
2084442,Vanimo,96,PG,1579884428,77,-2.67,141.3,28.14,2.81
362973,Abnub,0,EG,1579884428,66,27.27,31.15,12,7.2
3571913,Marsh Harbour,63,BS,1579884428,63,26.54,-77.06,22.56,3.97
1121143,Wilayat-e Zabul,100,AF,1579884428,98,32.25,67.25,0.05,1.37
2270385,Camacha,20,PT,1579884428,67,33.08,-16.33,18,8.2
3374333,Praia,3,CV,1579884428,39,14.92,-23.51,29,7.2
3644417,Ejido,91,VE,1579884428,86,8.55,-71.24,13.98,1.45
5915327,Cap-aux-Meules,40,CA,1579884428,63,47.38,-61.86,-3,7.2
3939761,Hualmay,31,PE,1579884429,51,-11.1,-77.61,27.74,5.21
i,100,LT,1579884429,90,55.42,22.62,5.54,6.45
4560349,Philadelphia,1,US,1579884176,34,39.95,-75.16,10.56,2.6
2026023,Bukachacha,0,RU,1579884429,98,52.98,116.92,-28.95,1.03
5127305,Monroe,75,US,1579884429,41,43.15,-77.68,7.22,4.1
1797535,Qiongshan,31,CN,1579884429,94,20.01,110.35,20,3
3663693,Jutai,100,BR,1579884429,87,-5.18,-68.9,27.07,1.78
2171766,Charlestown,90,AU,1579884429,83,-32.95,151.67,25,3.1
